"id","subject","topic","subtopic","title","rule_text","current_buzzwords_json","corrected_buzzwords_json"
"506ef225-c577-4369-b714-3bd212af80a1","Business Associations","Partnerships","Power and Liability of Partners","Acts Outside the Ordinary Course","An act of a partner that is not apparently for carrying on the partnership business in the ordinary course binds the partnership only if the act was authorized by the other partners.","[""outside the ordinary course"",""authorized by other partners""]","[""outside the ordinary course"",""authorized by other partners""]"
"19431c67-bb0d-42d9-943b-72289236f8cd","Business Associations","Agency","","Agency — Actual and Apparent Authority","Actual authority arises from the principal’s manifestations to the agent, while apparent authority arises from the principal’s manifestations to third parties causing reasonable reliance.","[""actual authority"",""apparent authority"",""manifestations"",""reasonable reliance""]","[""actual authority"",""apparent authority"",""manifestations"",""reasonable reliance""]"
"4f8acd8b-e898-4be0-8f5e-642ed47ed588","Business Associations","Agency","","Agency — Agent’s Liability","An agent is personally liable when acting without authority, when the principal is undisclosed or partially disclosed, or when the agent expressly assumes liability.","[""undisclosed principal"",""partially disclosed principal"",""personal liability""]","[""undisclosed principal"",""partially disclosed principal"",""personal liability""]"
"0ae347b2-bf6c-4f17-8533-ce0a9a1adcdd","Business Associations","Agency","","Agency — Formation","An agency relationship is created when a principal manifests assent that an agent act on the principal’s behalf and subject to the principal’s control, and the agent consents.","[""principal"",""agent"",""manifestation of assent"",""control"",""consent""]","[""principal"",""agent"",""manifestation of assent"",""control"",""consent""]"
"9f72d9a1-45d4-418d-84dc-7d42ed035d02","Business Associations","Agency","","Agency — Ratification","A principal may ratify an unauthorized act by knowingly accepting its benefits or affirming the act with full knowledge of material facts.","[""ratification"",""unauthorized act"",""knowledge of material facts""]","[""ratification"",""unauthorized act"",""knowledge of material facts""]"
"53aead2c-063d-4069-9e21-a6ff2f44a768","Business Associations","Agency","Power of Agent to Bind Principal","Agency by Estoppel","A person may be estopped to deny agency when the person intentionally or carelessly causes a third party to believe another has authority to act for the person, and the third party justifiably and detrimentally relies on that belief.","[""estoppel"",""justifiable reliance"",""detrimental reliance""]","[""estoppel"",""justifiable reliance"",""detrimental reliance""]"
"e1e26496-9b3a-4959-9a57-4685bfdcbf24","Business Associations","Agency","Power of Agent to Bind Principal","Agent Liability for Undisclosed or Partially Disclosed Principal","An agent who contracts on behalf of an undisclosed or partially disclosed principal is generally liable on the contract unless the parties agree otherwise.","[""undisclosed principal"",""partially disclosed principal"",""agent liable""]","[""undisclosed principal"",""partially disclosed principal"",""agent liable""]"
"c2d8785f-dff0-4f68-9b1d-acb43b8fbc96","Business Associations","Agency","Power of Agent to Bind Principal","Agent Liability on Contract for Disclosed Principal","An agent who enters a contract on behalf of a disclosed principal is generally not liable on the contract if the agent had authority and the contract indicates representative capacity.","[""disclosed principal"",""agent not liable"",""representative capacity""]","[""disclosed principal"",""agent not liable"",""representative capacity""]"
"ad10a97c-6a8f-45a3-b9a0-93a0d136db2e","Business Associations","Agency","Fiduciary Duties","Agent's Duty of Care","An agent owes the principal a duty to act with the care, competence, and diligence normally exercised by agents in similar circumstances.","[""duty of care"",""care competence diligence""]","[""duty of care"",""care competence diligence""]"
"00c1229f-dd18-41fd-9cd7-e684d645f636","Business Associations","Agency","Fiduciary Duties","Agent's Duty of Loyalty","An agent owes the principal a duty of loyalty and must act solely for the principal's benefit in matters connected with the agency, avoiding self-dealing, usurpation of business opportunities, undisclosed conflicts of interest, and secret profits.","[""duty of loyalty"",""self-dealing"",""secret profits"",""conflicts of interest""]","[""duty of loyalty"",""self-dealing"",""secret profits"",""conflicts of interest""]"
"a3a80010-3ded-4919-a25a-94862cce4d0f","Business Associations","Agency","Fiduciary Duties","Agent's Duty of Obedience","An agent must act within the scope of actual authority and obey the principal's lawful instructions concerning the agency relationship.","[""duty of obedience"",""lawful instructions"",""actual authority""]","[""duty of obedience"",""lawful instructions"",""actual authority""]"
"65db1096-f37f-4e7a-a45c-2dc400f11ce4","Business Associations","Business Associations Structural Changes","Organizational Structure","Amending Articles","An amendment to the articles of incorporation generally requires board adoption and shareholder approval, plus filing of articles of amendment with the state, unless a statutory exception permits board-only action.","[""amend articles"",""board adoption"",""shareholder approval"",""file amendment""]","[""amend articles"",""board adoption"",""shareholder approval"",""file amendment""]"
"6bb9ff56-80cd-4118-a800-3b289d2ad8f6","Business Associations","Agency","Power of Agent to Bind Principal","Apparent Authority","Apparent authority arises when a principal's manifestations to a third party would cause a reasonable third party to believe that the agent is authorized to act on the principal's behalf.","[""apparent authority"",""manifestations to third party"",""reasonable belief""]","[""apparent authority"",""manifestations to third party"",""reasonable belief""]"
"e0bf4cfb-ddcb-4df9-af3f-a347cc2e569c","Business Associations","Corporations","Formation","Articles of Incorporation","Articles of incorporation generally must include the corporate name, the number of authorized shares, the street address of the corporation's initial registered office and registered agent, and the name and address of each incorporator, along with any optional provisions.","[""articles of incorporation"",""corporate name"",""authorized shares"",""registered agent"",""incorporator""]","[""articles of incorporation"",""corporate name"",""authorized shares"",""registered agent"",""incorporator""]"
